Code,Item,Imports,Exports,Re-Exports,Year,Trade
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 1,603 ", 144 , 942 ,2014,FZT
14,"14- Pearls, precious stones and metals"," 15,601 ", -   ," 9,866 ",2014,FZT
15,15- Base metals and articles of base metals," 13,259 "," 1,778 "," 4,822 ",2014,FZT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 142,855 "," 2,350 "," 121,262 ",2014,FZT
17,"17- Vehicles, aircraft and vessels"," 17,348 "," 2,084 "," 11,555 ",2014,FZT
18,"18- Optical, medical equipments and watches"," 8,030 ", 179 ," 6,567 ",2014,FZT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2014,FZT
20,20- Miscellaneous manufactured articles not elsewhere classified," 3,784 ", 146 ," 2,407 ",2014,FZT
21,"21- Art work, collectors pieces and antiques", 114 , -   , 53 ,2014,FZT
1,"01- Live Animals, animals products", 499 , 6 , 182 ,2015,FZT
2,02- Vegetable products ," 1,098 ", 309 , 366 ,2015,FZT
3,"03- Animal and vegetable fats, oils and waxes", 88 , 47 , 22 ,2015,FZT
4,04- Prepared Foodstuffs," 9,795 "," 3,570 "," 6,947 ",2015,FZT
5,05- Mineral products ," 15,455 ", 675 ," 9,926 ",2015,FZT
6,06- Products of chemical and allied industries," 15,896 "," 1,104 "," 11,663 ",2015,FZT
7,"07- Plastics, rubber and articles thereof"," 5,360 ", 894 ," 2,692 ",2015,FZT
8,"08- Raw hides, skins, leather and articles"," 1,603 ", 1 , 766 ,2015,FZT
9,"09- Wood and articles, cork and plating materials", 995 , 14 , 83 ,2015,FZT
10,"10- Pulp of wood, paper products and waste paper"," 1,665 ", 252 , 469 ,2015,FZT
11,11- Textiles and textile articles," 10,239 ", 279 ," 5,660 ",2015,FZT
12,"12- Footwear, headgear and umbrellas"," 3,928 ", 1 ," 1,948 ",2015,FZT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 1,300 ", 121 , 678 ,2015,FZT
14,"14- Pearls, precious stones and metals"," 12,475 ", -   ," 10,293 ",2015,FZT
15,15- Base metals and articles of base metals," 11,448 "," 1,476 "," 4,305 ",2015,FZT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 130,146 "," 2,429 "," 111,411 ",2015,FZT
17,"17- Vehicles, aircraft and vessels"," 15,482 ", 519 ," 10,000 ",2015,FZT
18,"18- Optical, medical equipments and watches"," 7,590 ", 65 ," 5,670 ",2015,FZT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2015,FZT
20,20- Miscellaneous manufactured articles not elsewhere classified," 4,261 ", 88 ," 2,519 ",2015,FZT
21,"21- Art work, collectors pieces and antiques", 338 , -   , 115 ,2015,FZT
1,"01- Live Animals, animals products", 557 , 11 , 134 ,2016,FZT
2,02- Vegetable products , 820 , 211 , 264 ,2016,FZT
3,"03- Animal and vegetable fats, oils and waxes", 56 , 35 , 16 ,2016,FZT
4,04- Prepared Foodstuffs," 10,461 "," 4,247 "," 6,948 ",2016,FZT
5,05- Mineral products ," 19,232 ", 507 ," 9,904 ",2016,FZT
6,06- Products of chemical and allied industries," 16,114 "," 1,076 "," 11,515 ",2016,FZT
7,"07- Plastics, rubber and articles thereof"," 5,976 "," 1,289 "," 2,915 ",2016,FZT
8,"08- Raw hides, skins, leather and articles"," 1,621 ", 1 , 847 ,2016,FZT
9,"09- Wood and articles, cork and plating materials", 886 , 7 , 88 ,2016,FZT
10,"10- Pulp of wood, paper products and waste paper"," 1,716 ", 246 , 424 ,2016,FZT
11,11- Textiles and textile articles," 9,126 ", 193 ," 4,819 ",2016,FZT
12,"12- Footwear, headgear and umbrellas"," 3,683 ", -   ," 2,166 ",2016,FZT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 1,103 ", 106 , 514 ,2016,FZT
14,"14- Pearls, precious stones and metals"," 10,471 ", -   ," 10,602 ",2016,FZT
15,15- Base metals and articles of base metals," 9,805 "," 1,410 "," 3,370 ",2016,FZT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 114,543 "," 2,421 "," 92,076 ",2016,FZT
17,"17- Vehicles, aircraft and vessels"," 15,548 ", 340 ," 9,774 ",2016,FZT
18,"18- Optical, medical equipments and watches"," 7,630 ", 117 ," 6,508 ",2016,FZT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2016,FZT
20,20- Miscellaneous manufactured articles not elsewhere classified," 4,262 ", 78 ," 2,365 ",2016,FZT
21,"21- Art work, collectors pieces and antiques", 179 , -   , 113 ,2016,FZT
1,"01- Live Animals, animals products", 916 , 10 , 166 ,2017,FZT
2,02- Vegetable products ," 1,074 ", 199 , 399 ,2017,FZT
3,"03- Animal and vegetable fats, oils and waxes", 82 , 48 , 12 ,2017,FZT
4,04- Prepared Foodstuffs," 13,010 "," 4,590 "," 7,547 ",2017,FZT
5,05- Mineral products ," 19,448 ", 595 ," 12,224 ",2017,FZT
6,06- Products of chemical and allied industries," 16,304 "," 1,259 "," 11,033 ",2017,FZT
7,"07- Plastics, rubber and articles thereof"," 6,762 "," 1,124 "," 3,655 ",2017,FZT
8,"08- Raw hides, skins, leather and articles"," 1,734 ", 1 , 955 ,2017,FZT
9,"09- Wood and articles, cork and plating materials", 953 , 8 , 79 ,2017,FZT
10,"10- Pulp of wood, paper products and waste paper"," 1,669 ", 237 , 488 ,2017,FZT
11,11- Textiles and textile articles," 8,648 ", 194 ," 4,704 ",2017,FZT
12,"12- Footwear, headgear and umbrellas"," 3,362 ", -   ," 2,197 ",2017,FZT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 1,118 ", 91 , 465 ,2017,FZT
14,"14- Pearls, precious stones and metals"," 8,589 ", -   ," 7,811 ",2017,FZT
15,15- Base metals and articles of base metals," 10,637 "," 1,563 "," 3,434 ",2017,FZT
